no,title,link
0," “와 레전드” 고윤정, 청룡서 리즈 찍었다… 등근육 자랑까지 [IS하이컷] ",http://v.daum.net/v/20260802181752582
1," 고윤정, 이 미모에 성난 등근육이라니…""무슨 운동 하길래?"" ",http://v.daum.net/v/20260804040150778
2," 고윤정, 압도적인 분위기...‘청룡 레드카펫 장악’[케이팝 헌터스] ",http://v.daum.net/v/20260811110354329
3," 고윤정 프랑스 니스 여행 패션, 선글라스부터 티셔츠까지 총정리 ",http://v.daum.net/v/20260806053128482
4," 고윤정, 이병헌 만난다더니…""승마, 액션 훈련 준비 중"" 연기 스펙트럼 또 넓힌다 ",http://v.daum.net/v/20260713160107321
5," 고윤정·허남준 이어 임영웅까지 사로잡은 남배우…김도훈 ""평생 할 효도 다 해"" ('산골총각') ",http://v.daum.net/v/20260806100137550
6," ‘이사통’ 고윤정, 김선호·후쿠시 소타 축하 속 글로벌 아이콘상[청룡시리즈어워즈] ",http://v.daum.net/v/20260731214041372
7," ‘트로피가 두개지요’ 고윤정, 청룡 수상 인증샷…김선호와 다정 투샷까지 ",http://v.daum.net/v/20260804143939529
8," 고윤정, 청룡시리즈어워즈 2관왕 인증…트로피 들고 ""감사한 선물"" [MHN:피드] ",http://v.daum.net/v/20260803161024081
9, 요즘 고윤정·강민경은 왜 발가락 양말을 신을까요 ,http://v.daum.net/v/20260730183107684
10," 고윤정, 흑발+블랙 드레스 완벽 조합… 탄탄한 등 라인으로 ‘눈길’ ",http://v.daum.net/v/20260804212757822
11," 젝시믹스, ‘고윤정 효과’ 톡톡…주요 착장 제품 판매량 증가 ",http://v.daum.net/v/20260724120130633
12," 고윤정, 현시점 K-예쁨 대표 배우 [엔터포커싱] ",http://v.daum.net/v/20260803070127310
13," [제5회 BSA] 고윤정, 글로벌 아이콘상…日 배우 쇼타 시상 의리 ",http://v.daum.net/v/20260731211841938
14," “드레스 여신” 고윤정, 반전 뒤태…탄탄 등근육 비결은 ‘이 운동’? ",http://v.daum.net/v/20260807150349051
15," 김선호·고윤정, ‘AAA 2026’ 참석 ",http://v.daum.net/v/20260729070840662
16, 고윤정→변우석 인기스타상 굳건한 인기 “팬들 노력+사랑 담긴 상”[청룡시리즈어워즈] ,http://v.daum.net/v/20260731215310558
17," ""고윤정이 입은 크롭탑 23배 더 팔렸다""...대박 난 젝시믹스 ",http://v.daum.net/v/20260724154047547
18," ""고윤정 덕분에""...들썩이는 '이 회사' ",http://v.daum.net/v/20260725080610898
19, '고윤정 효과' 제대로…젝시믹스 판매량 최대 23배 뛰었다 ,http://v.daum.net/v/20260724084551316
20, 고윤정 굴곡진 '명품' 등근육…전문가가 추천한 '등 운동'은 ,http://v.daum.net/v/20260806002138793
21," 등 근육이 남배우 저리가라…고윤정, 뼈말라 대신 건강미 택한 '반전' 드레스핏 ",http://v.daum.net/v/20260804175137426
22," 젝시믹스, 고윤정 모델 기용 첫 주 판매량만 전주 대비 208.2% 증가 ",http://v.daum.net/v/20260725110241356
23, 고윤정 '한층 여유로워진 미소'(청룡시리즈어워즈) [포토] ,http://v.daum.net/v/20260801143842287
24, ‘너무 잘나가 질투 난다’ 장원영 1위…아이유·고윤정도 제쳤다 ,http://v.daum.net/v/20260810171952509
25, 고윤정 귀걸이 어디 거? 청룡 레드카펫 주얼리 총정리 ,http://v.daum.net/v/20260803171307659
26," '청룡 2관왕' 고윤정, 트로피 양 손에 들고 활짝…비하인드 포토 공개 [핫피플] ",http://v.daum.net/v/20260802235337743
27," [포토] 고윤정, 미모가 초능력 ",http://v.daum.net/v/20260731204728209
28," '41세' 서인영, 지방흡입·리프팅 받고 고윤정 됐다…미모에 깜짝 [마데핫리뷰] ",http://v.daum.net/v/20260730092927655
29," 서인영, 지방흡입·레이저 받더니…“강유미·고윤정 그 사이” ",http://v.daum.net/v/20260730095849249
